,open,high,low,close,volume
1794,159.6500,159.7000,155.1710,155.8800,8173017
1795,162.0500,162.5100,159.5400,159.5500,5765384
1796,161.0700,162.4800,159.7700,162.0700,7848320
1797,159.8000,160.9600,159.0850,160.9000,9878844
1798,157.1200,161.2300,156.9500,159.5300,30445283
1799,146.6300,147.1200,146.1800,146.5400,4941313
1800,147.2200,147.6700,146.5100,146.8300,3035184
1801,147.4800,147.8500,146.9400,147.1000,2490548
1802,147.5600,147.8900,146.7700,147.0300,3255559
1803,148.4000,148.4700,147.2800,147.6200,3674765
1804,147.7100,148.9500,147.6500,148.5000,4028877
1805,146.5000,147.7900,146.3500,147.3900,2678887
1806,146.6400,146.8500,146.3200,146.4800,2248474
1807,146.6800,147.5400,146.4800,146.7200,2536971
1808,147.0000,147.0200,146.1100,146.4800,2225673
1809,146.6900,147.1999,146.3400,146.7800,2285725
1810,145.3500,146.8650,145.2100,146.6600,2955450
1811,145.4500,145.6900,144.9200,145.0800,2635887
1812,145.3300,145.8600,144.2100,145.6600,2763219
1813,146.6800,146.9000,145.0300,145.6600,3446073
1814,146.3600,147.4200,145.9400,146.5600,4106513
1815,145.1200,146.0300,144.9100,145.8700,5179476
1816,145.5900,145.5900,144.5900,145.1300,2741663
1817,145.6500,145.8911,145.1000,145.2600,2289276
1818,144.9300,145.8800,144.4200,145.8800,5384615
1819,144.7900,144.9800,144.2200,144.3900,3456574
1820,144.8100,145.4799,144.2700,144.5500,3018012
1821,144.8200,145.1700,144.0800,144.8200,7297773
1822,145.8600,146.3800,145.5100,145.5400,3742944
1823,145.3500,146.2900,145.3400,145.9900,4070378
1824,145.1100,146.3700,144.5100,145.7600,5222522
1825,143.5400,145.1300,143.0100,144.8600,4549334
1826,143.1500,143.1500,141.6400,142.4500,3344701
1827,144.1000,144.6400,142.4100,142.9000,4155968
1828,143.8800,144.4700,143.5000,143.8200,3205295
1829,143.5000,144.3575,142.7000,143.0400,3097503
1830,142.9800,144.5000,142.9800,144.0800,3348503
1831,143.0200,143.6600,142.6300,143.0300,3614517
1832,143.2600,143.2800,142.4100,142.5600,2715466
1833,142.1000,143.4250,141.9000,143.1400,3000993
1834,144.1100,144.5600,142.3900,142.5100,5086015
1835,143.3000,144.1900,143.2500,143.7400,2866131
1836,142.5000,143.6800,142.2500,142.9400,3580245
1837,140.7000,143.0500,140.6800,142.1400,4035421
1838,140.6400,141.1500,140.3800,141.0100,2495902
1839,139.5900,140.4200,139.1300,140.3300,2949410
1840,140.8700,141.1500,139.5800,139.7000,4128761
1841,142.5200,142.8900,140.7000,140.7000,4342286
1842,141.7900,142.9100,141.6100,142.5000,3239516
1843,142.5500,143.3400,140.5800,142.0700,4652618
1844,142.0000,142.7600,141.9400,142.3200,2222304
1845,142.4500,142.5900,141.5200,141.8400,3004040
1846,141.6400,142.4200,141.2300,141.8400,4378186
1847,141.7500,142.0300,141.1900,141.7700,2920582
1848,142.0000,142.7600,142.0000,142.1100,3281972
1849,145.0000,145.0900,142.7500,143.4700,4576508
1850,145.0000,145.3900,144.4000,145.1600,2542800
1851,144.4300,145.3400,144.4300,144.9400,3028769
1852,145.1200,145.2900,144.2200,144.4500,3400024
1853,145.0000,145.6700,144.7200,145.3000,3197848
1854,144.3800,144.9300,144.1700,144.6700,4333680
1855,144.8100,145.0400,143.8400,144.2900,3022662
1856,145.0000,145.3950,143.6400,145.0700,6374650
1857,146.2700,146.4600,144.4700,145.3600,3806651
1858,146.5700,147.4900,146.0300,146.1900,4184435
1859,147.0000,147.0400,145.8000,145.9900,3818232
1860,147.5900,147.8700,146.5100,147.0800,6456514
1861,147.5300,148.8300,147.0300,147.6600,7105481
1862,150.0200,150.2500,146.7100,147.5300,14043000
1863,152.3600,154.2900,152.0000,154.0000,6867302
1864,153.5900,153.8800,152.2399,153.0100,4751141
1865,154.0100,154.6150,153.4000,154.2400,3214337
1866,153.7000,154.1900,153.1900,153.6300,2474847
1867,153.4800,154.2400,153.0500,153.7000,3090315
1868,153.2600,153.6500,152.0500,153.1900,3431418
1869,152.9100,153.8900,152.6300,153.4200,2804780
1870,152.6200,153.4900,152.1400,152.9400,2345721
1871,153.3600,153.8300,152.2300,152.3600,2735717
1872,155.7700,155.8900,153.6300,153.6700,3558639
1873,153.5800,156.0250,153.5200,155.5800,2822499
1874,154.2800,154.5000,153.1400,153.8300,3501395
1875,155.3500,155.7400,153.6200,154.1300,3245649
1876,155.1500,155.5500,154.7800,155.3200,2203062
1877,155.0000,155.3400,154.5000,154.7500,2385619
1878,154.7100,155.7500,154.6300,155.2300,2129945
1879,154.3400,154.6800,153.8000,154.1100,3148468
1880,154.5500,154.9900,153.6900,154.4000,2361275
